        6524	IH
30.144550      24.464515      56.092617
28.681343      22.450584      54.655387
30.144550      20.436654      56.092617
28.681343      18.422723      54.655387
30.144550      16.408792      56.092617
28.681343      14.394862      54.655387
27.218137      20.436654      53.218157
25.754931      18.422723      51.780927
27.218137      16.408792      53.218157
25.754931      14.394862      51.780927
27.218137      12.380931      53.218157
24.291724      16.408792      50.343697
40.386993      26.478446      60.404306
41.850200      24.464515      61.841536
40.386993      22.450584      60.404306
37.460581      30.506307      57.529847
38.923787      28.492376      58.967076
37.460581      26.478446      57.529847
38.923787      24.464515      58.967076
37.460581      22.450584      57.529847
38.923787      20.436654      58.967076
37.460581      18.422723      57.529847
35.997375      32.520238      56.092617
34.534168      30.506307      54.655387
35.997375      28.492376      56.092617
34.534168      26.478446      54.655387
35.997375      24.464515      56.092617
34.534168      22.450584      54.655387
35.997375      20.436654      56.092617
34.534168      18.422723      54.655387
35.997375      16.408792      56.092617
34.534168      14.394862      54.655387
33.070962      28.492376      53.218157
31.607756      26.478446      51.780927
33.070962      24.464515      53.218157
31.607756      22.450584      51.780927
33.070962      20.436654      53.218157
31.607756      18.422723      51.780927
33.070962      16.408792      53.218157
31.607756      14.394862      51.780927
33.070962      12.380931      53.218157
30.144550      24.464515      50.343697
28.681343      22.450584      48.906467
30.144550      20.436654      50.343697
28.681343      18.422723      48.906467
30.144550      16.408792      50.343697
27.218137      20.436654      47.469237
43.313406      22.450584      57.529847
44.776612      20.436654      58.967076
43.313406      18.422723      57.529847
40.386993      26.478446      54.655387
41.850200      24.464515      56.092617
40.386993      22.450584      54.655387
41.850200      20.436654      56.092617
40.386993      18.422723      54.655387
41.850200      16.408792      56.092617
40.386993      14.394862      54.655387
37.460581      30.506307      51.780927
38.923787      28.492376      53.218157
37.460581      26.478446      51.780927
38.923787      24.464515      53.218157
37.460581      22.450584      51.780927
38.923787      20.436654      53.218157
37.460581      18.422723      51.780927
38.923787      16.408792      53.218157
37.460581      14.394862      51.780927
38.923787      12.380931      53.218157
35.997375      32.520238      50.343697
34.534168      30.506307      48.906467
35.997375      28.492376      50.343697
34.534168      26.478446      48.906467
35.997375      24.464515      50.343697
34.534168      22.450584      48.906467
35.997375      20.436654      50.343697
34.534168      18.422723      48.906467
35.997375      16.408792      50.343697
33.070962      28.492376      47.469237
31.607756      26.478446      46.032007
33.070962      24.464515      47.469237
31.607756      22.450584      46.032007
33.070962      20.436654      47.469237
30.144550      24.464515      44.594778
46.239818      18.422723      54.655387
47.703025      16.408792      56.092617
46.239818      14.394862      54.655387
43.313406      22.450584      51.780927
44.776612      20.436654      53.218157
43.313406      18.422723      51.780927
44.776612      16.408792      53.218157
43.313406      14.394862      51.780927
44.776612      12.380931      53.218157
40.386993      26.478446      48.906467
41.850200      24.464515      50.343697
